Order ID,Date,Customer ID,Product,Category,Region,Quantity,Unit Price,Revenue
ORD00209,2025-01-01,CUST0192,USB-C Hub,Electronics,North,4,1299,5018.97
ORD01757,2025-01-01,CUST0130,Running Shoes,Sportswear,South,1,3499,3642.44
ORD00675,2025-01-01,CUST0098,Mechanical Keyboard,Electronics,South,1,2499,2460.04
ORD00996,2025-01-01,CUST0074,Office Chair,Furniture,Central,2,6499,12768.19
ORD02280,2025-01-01,CUST0191,Desk Lamp,Furniture,Central,2,899,1744.87
ORD02868,2025-01-01,CUST0099,Desk Lamp,Furniture,East,3,899,2655.18
ORD00068,2025-01-01,CUST0166,USB-C Hub,Electronics,Central,3,1299,4040.64
ORD02881,2025-01-02,CUST0062,Desk Lamp,Furniture,East,4,899,3621.99
ORD01950,2025-01-02,CUST0176,Bluetooth Speaker,Electronics,Central,2,1899,3929.4
ORD00727,2025-01-02,CUST0112,Notebook Set,Stationery,West,1,199,203.54
ORD00875,2025-01-02,CUST0148,Desk Lamp,Furniture,South,4,899,3710.41
ORD01078,2025-01-02,CUST0057,Sticky Notes Pack,Stationery,North,1,99,100.03
ORD01805,2025-01-02,CUST0148,USB-C Hub,Electronics,North,4,1299,5067.14
ORD00215,2025-01-03,CUST0012,Office Chair,Furniture,Central,3,6499,19187.48
ORD02684,2025-01-03,CUST0099,Sunglasses,Accessories,Central,2,1299,2481.26
ORD02371,2025-01-03,CUST0031,Mechanical Keyboard,Electronics,South,4,2499,9787.54
ORD02718,2025-01-03,CUST0077,Mechanical Keyboard,Electronics,Central,1,2499,2458.0
ORD00418,2025-01-04,CUST0109,USB-C Hub,Electronics,Central,2,1299,2543.45
ORD02427,2025-01-04,CUST0153,Desk Lamp,Furniture,North,3,899,2690.66
ORD02620,2025-01-04,CUST0092,Standing Desk,Furniture,Central,1,12999,12689.43
ORD01365,2025-01-05,CUST0115,Mechanical Keyboard,Electronics,South,1,2499,2618.29
ORD00400,2025-01-05,CUST0155,Bluetooth Speaker,Electronics,South,2,1899,3971.92
ORD00086,2025-01-05,CUST0001,Mechanical Keyboard,Electronics,Central,1,2499,2396.22
ORD01517,2025-01-06,CUST0099,Whiteboard,Stationery,South,1,1499,1512.72
ORD02529,2025-01-06,CUST0060,Sticky Notes Pack,Stationery,Central,2,99,203.84
ORD02525,2025-01-06,CUST0106,Backpack,Accessories,North,1,1999,1951.72
ORD02247,2025-01-06,CUST0050,Whiteboard,Stationery,Central,1,1499,1476.5
ORD00518,2025-01-06,CUST0093,Backpack,Accessories,Central,3,1999,6134.61
ORD02522,2025-01-07,CUST0115,Standing Desk,Furniture,East,4,12999,52560.11
ORD00887,2025-01-07,CUST0178,USB-C Hub,Electronics,East,2,1299,2584.31
ORD02995,2025-01-07,CUST0030,Bluetooth Speaker,Electronics,South,2,1899,3658.6
ORD00920,2025-01-08,CUST0040,Desk Lamp,Furniture,South,3,899,2663.61
